Product ID*;Attribute (Name:Type:Position)*;Value (Value:Position)*;Supplier reference;Reference;EAN13;UPC;Wholesale price;Impact on price;Ecotax;Quantity;Minimal quantity;Impact on weight;Default (0 = No, 1 = Yes);Image position;Image URL;Delete existing images (0 = No, 1 = Yes);ID / Name of shop
557;"Größe 32 - 34 - 36 - 38:select:1";34:1;VIP-0001_purple_1;;;10;45.000000;0.000000;0.00;9;1;0;1;;;0;
557;"Größe 32 - 34 - 36 - 38:select:1";36:1;VIP-0001_purple_2;;;10;45.000000;0.000000;0.00;9;1;0;0;;;0;
557;"Größe 32 - 34 - 36 - 38:select:1";38:1;VIP-0001_purple_3;;;10;45.000000;0.000000;0.00;6;1;0;0;;;0;
557;"Größe 32 - 34 - 36 - 38:select:1";40:1;VIP-0001_purple_4;;;5;45.000000;0.000000;0.00;4;0;0;0;;;0;
557;"Größe 32 - 34 - 36 - 38:select:1";42:1;VIP-0001_purple_5;;;5;45.000000;0.000000;0.00;0;0;0;0;;;0;
558;"Größe 32 - 34 - 36 - 38:select:1";34:1;VIP-0001_green_1;;;10;45.000000;0.000000;0.00;11;1;0;1;;;0;
558;"Größe 32 - 34 - 36 - 38:select:1";40:1;VIP-0001_green_4;;;8;45.000000;0.000000;0.00;8;0;0;0;;;0;
558;"Größe 32 - 34 - 36 - 38:select:1";36:1;VIP-0001_green_2;;;10;45.000000;0.000000;0.00;5;1;0;0;;;0;
558;"Größe 32 - 34 - 36 - 38:select:1";38:1;VIP-0001_green_3;;;10;45.000000;0.000000;0.00;7;1;0;0;;;0;
558;"Größe 32 - 34 - 36 - 38:select:1";42:1;VIP-0001_green_5;;;8;45.000000;0.000000;0.00;6;0;0;0;;;0;
559;"Größe 32 - 34 - 36 - 38:select:1";34:1;VIP-0002_grey_1;;;5;52.000000;0.000000;0.00;5;1;0;1;;;0;
559;"Größe 32 - 34 - 36 - 38:select:1";40:1;VIP-0002_grey_4;;;5;52.000000;0.000000;0.00;1;0;0;0;;;0;
559;"Größe 32 - 34 - 36 - 38:select:1";36:1;VIP-0002_grey_2;;;5;52.000000;0.000000;0.00;4;1;0;0;;;0;
559;"Größe 32 - 34 - 36 - 38:select:1";38:1;VIP-0002_grey_3;;;5;52.000000;0.000000;0.00;2;1;0;0;;;0;
559;"Größe 32 - 34 - 36 - 38:select:1";42:1;VIP-0002_grey_5;;;5;52.000000;0.000000;0.00;0;0;0;0;;;0;
560;"Größe 32 - 34 - 36 - 38:select:1";34:1;VIP-0002_blue_1;;;7;52.000000;0.000000;0.00;5;1;0;1;;;0;
560;"Größe 32 - 34 - 36 - 38:select:1";40:1;VIP-0002_blue_4;;;5;52.000000;0.000000;0.00;-1;0;0;0;;;0;
