Email;First Name;Last Name ;Language ID;Shop ID;Shop Group ID;Active
adriankay@tobewed.co.uk;TO BE WED;;1;;;
brides@gwenne.co.uk;Gwenne Wedding Services;;1;;;
info.lindagraybridal@gmail.com;Linda Gray Bridal;;1;;;
enquiries@thebridalhall.co.uk;The Bridal Hall;;1;;;
info@thebridalrooms.co.uk;The Bridal Rooms?;;1;;;
sales@laceandfavour.com;Lace & Favour;;1;;;
tessafrancisbridal@gmail.com;TESSA FRANCIS BRIDAL STUDIO;;1;;;
info@ivorygrace.co.uk;Ivory Grace;;1;;;
info@perfectbridalrooms.com;Perfect Bridal Rooms;;1;;;
perfectbridalrms@aol.com;Perfect Bridal Rooms;;1;;;
Info@annalizh.co.uk;Anna Lizh Bridal Couture;;1;;;
information@thebridalboutiqueaberdeen.com;THE BRIDAL BOUTIQUE;;1;;;
info@jennyyoungtailoring.com;JENNIFER YOUNG COUTURE;;1;;;
ifmackie@bentleys.uk.com;Bentleys Fashions Ltd;;1;;;
Info@HappilyEverafterEllon.co.uk;Happily Ever After;;1;;;
mail@elmarbridal.co.uk;ELMAR BRIDAL COLLECTION;;1;;;
info@blushbridal.scot;BLUSH BRIDAL;;1;;;
info@laorr.com;LA ORR BOUTIQUE;;1;;;
onedaylikethiskeith@outlook.com;One Day Like This;;1;;;
perfectmomentsbridal@gmail.com;Perfect Moments Bridal Boutique;;1;;;
info@satinbow.co.uk;Satin Bow Bridal;;1;;;
info@weddinggallery.co.uk;THE WEDDING GALLERY;;1;;;
stalbans@marshmallowbride.co.uk;MARSHMALLOW BRIDE;;1;;;
mydress@the-bride.co.uk;THE BRIDE;;1;;;
ian@birdcagebridal.com;Birdcage Bridal Boutique;;1;;;
sam.newbyricci@gmail.com;Heritage Brides;;1;;;
sam.newbyricci@gmail.com;HERITAGE BRIDES;;1;;;
info@revededentelle.be;Reve de Dentelle;;1;;;
APPOINTMENTSBHAM@THEWEDDING-CLUB.CO.UK;THE WEDDING CLUB BIRMINGHAM;;1;;;
enquiries@weddingqtr.co.uk;Wedding Quarter;;1;;;
birmingham@isaaccharlesbridal.co.uk;ISAAC CHARLES BRIDAL HOUSE LTD;;1;;;
annalouisegowns@live.co.uk;Anna Louise Gowns;;1;;;
info@platinumbrides.co.uk;Platinum Brides - West Midlands;;1;;;
info@laimaboutique.com;LAIMA BOUTIQUE;;1;;;
Sammy@platinumdreams.co.uk;Romantic Dreams;;1;;;
bridalcorner@hotmail.co.uk;Bridal Corner;;1;;;
josweddingshop@googlemail.com;Your Wedding Shop - Wedding Dress Outlet;;1;;;
sales@wedding-wishes.org;Dress to Impress;;1;;;
manorpark1@btconnect.com;MANOR PARK BRIDES;;1;;;
elegantgowns@live.co.uk;Elegant Gowns;;1;;;
Gazzaholt@yahoo.co.uk;A.B.C. Childrenswear;;1;;;
hello@tdr-bridal.co.uk;THE DRESSING ROOMS BRIDAL;;1;;;
BELDABRIDAL@BTINTERNET.COM;Belda Bridalwear;;1;;;
beldabridal@gmail.com;Belda Bridal;;1;;;
enquiries@millardefashions.co.uk;Millarde Fashions;;1;;;
Info@Miamorbridal.Co.Uk;Mi Amor;;1;;;
s.moshirfar@suttonbridalstudio.co.uk;Sutton Bridal Studio;;1;;;
info@designsonyoubridal.co.uk;Designs On You Bridal Studio;;1;;;
vanillastreetly@gmail.com;Vanilla;;1;;;
hello@charlottebakerbridalwear.com;Charlotte Baker Bridal Wear;;1;;;
martinbgs@btconnect.com;Brides of Solihull;;1;;;
brides@ivorytowerbridal.co.uk;Ivory Tower;;1;;;
bridalbarinfo@gmail.com;The Bridal Bar;;1;;;
brides@ivorytowerbridal.co.uk;Ivory Tower;;1;;;
info@krystlebrides.co.uk;Krystle Brides;;1;;;
info@ellierosebridal.co.uk;Ellie Rose Bridal;;1;;;
lynn@perfectprincessbridal.com;PERFECT PRINCESS BRIDAL;;1;;;
info@fromebridesandbelles.com;FROME BRIDES & BELLES;;1;;;
info@bridebydesign.biz;BRIDE BY DESIGN;;1;;;
antoinettewardrobe@gmail.co.uk;Antoinette’s Wardrobe;;1;;;
info@devlinbridalcouture.co.uk;Devlin Bridal Couture;;1;;;
info@bridal-lounge.co.uk;The Bridal Lounge;;1;;;
info@carinabcouture.com;CARINA BAVERSTOCK COUTURE;;1;;;
enquiries@perfectdaybridal.net;PERFECT DAY BRIDE;;1;;;
christina@orangeblossombridal.co.uk;Orange Blossom Bridal Boutique;;1;;;
info@eleanorflorence.co.uk;Eleanor Florence;;1;;;
weddingbellesblackburn@gmail.com;Wedding Belles Blackburn;;1;;;
michelle@arelesbridal.co.uk;Areles Bridal;;1;;;
crowney01@hotmail.co.uk;Anne Whittaker Bridal Wear;;1;;;
