ID;Aktiv;Image;Preis inkl. Steuern;Einkaufspreis;Hersteller-Artikelnummer.;Auf Lager;Name;Lieferant;Standort;Preis inklusive % Reduktion;Reduktion %;Reduktionshöhe;Preis inklusive Reduktion;Rabatt startet;Rabattende;Preis exklusive Steuern;Pos.;Steuerregel
3768;Nein;--;141.61;52.00;0378_Ice Green;0;-1;CK-C; ;0.00;0.00;0.00;0.00; ; ;119.00;-;19%
3635;Nein;--;177.31;69.00;0351_Rio Red;0;-1;CK-C; ;0.00;0.00;0.00;0.00; ; ;149.00;-;19%
3629;Nein;--;117.81;47.00;0353_Rio Red;0;-1;CK-C; ;0.00;0.00;0.00;0.00; ; ;99.00;-;19%
3621;Nein;--;105.91;45.00;0326_Apple Mint;3;-1;CK-C; ;0.00;0.00;0.00;0.00; ; ;89.00;-;19%
3637;Nein;--;153.51;58.00;0350_Rio Red;0;-1;CK-C; ;0.00;0.00;0.00;0.00; ; ;129.00;-;19%
3619;Nein;--;105.91;45.00;0326_Rio Red;3;-1;CK-C; ;0.00;0.00;0.00;0.00; ; ;89.00;-;19%
3618;Nein;--;105.91;45.00;0326_Dawn Pink;3;-1;CK-C; ;0.00;0.00;0.00;0.00; ; ;89.00;-;19%
3617;Nein;--;141.61;53.00;0327_French Vanilla;0;-1;CK-C; ;0.00;0.00;0.00;0.00; ; ;119.00;-;19%
3616;Nein;--;141.61;53.00;0327_Dawn Pink;0;-1;CK-C; ;0.00;0.00;0.00;0.00; ; ;119.00;-;19%
3615;Nein;--;141.61;53.00;0327_Twilight Blue;0;-1;CK-C; ;0.00;0.00;0.00;0.00; ; ;119.00;-;19%
3643;Nein;--;94.01;37.00;0348_Dawn Pink;0;-1;CK-C; ;0.00;0.00;0.00;0.00; ; ;79.00;-;19%
3614;Nein;--;141.61;53.00;0327_Moonlight Jade;0;-1;CK-C; ;0.00;0.00;0.00;0.00; ; ;119.00;-;19%
3644;Nein;--;94.01;37.00;0348_Rio Red;0;-1;CK-C; ;0.00;0.00;0.00;0.00; ; ;79.00;-;19%
3613;Nein;--;165.41;65.00;0328_Ice Blue;0;-1;CK-C; ;0.00;0.00;0.00;0.00; ; ;139.00;-;19%
3645;Nein;--;94.01;37.00;0348_Twilight Blue;0;-1;CK-C; ;0.00;0.00;0.00;0.00; ; ;79.00;-;19%
3612;Nein;--;165.41;65.00;0328_Pearl Pink;0;-1;CK-C; ;0.00;0.00;0.00;0.00; ; ;139.00;-;19%
3646;Nein;--;177.31;69.00;0347_Twilight Blue;0;-1;CK-C; ;0.00;0.00;0.00;0.00; ; ;149.00;-;19%
3611;Nein;--;165.41;65.00;0328_Virtual Red;0;-1;CK-C; ;0.00;0.00;0.00;0.00; ; ;139.00;-;19%
3647;Nein;--;177.31;69.00;0347_Snow White;0;-1;CK-C; ;0.00;0.00;0.00;0.00; ; ;149.00;-;19%
3610;Nein;--;201.11;88.00;0329_Snow White;0;-1;CK-C; ;0.00;0.00;0.00;0.00; ; ;169.00;-;19%
3648;Nein;--;153.51;52.00;0346_Gold;0;-1;CK-C; ;0.00;0.00;0.00;0.00; ; ;129.00;-;19%
3609;Nein;--;201.11;88.00;0329_Ghost Grey;0;-1;CK-C; ;0.00;0.00;0.00;0.00; ; ;169.00;-;19%
